Conso;Glacage;Fourrage;Eclair;App glacage;Evocation glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Amer;Ressenti;Liking;Sexe;Age;CSP;Conso Patisseries;Attrait Patisseries;Difficulte Epreuve
8;Gmoyen;Ffaible;Gmoyen_Ffaible;5;cafe_au_lait,vanille,caramel;lacte,peu_amer,gout,cafe,sucre,peu_intense;3;4;4;4;decu;5;F;18/24;etudiants;regulierement;9;8
9;Gclair;Ffaible;Gclair_Ffaible;7;cafe,chocolat_au_lait;gout,chocolat,peu,marque,peu_sucre;3;4;3;2;je m attendais a ca;4;F;25/34;cadres moyen;regulierement;9;3
9;Gclair;Fmoyen;Gclair_Fmoyen;7;cafe,chocolat_au_lait;gout,chocolat,peu,marque,peu_sucre;3;4;3;3;je m attendais a ca;5;F;25/34;cadres moyen;regulierement;9;3
9;Gclair;Ffort;Gclair_Ffort;7;cafe,chocolat_au_lait;gout,chocolat,peu,marque,peu_sucre;4;3;2;4;decu;3;F;25/34;cadres moyen;regulierement;9;3
9;Gfonce;Fmoyen;Gfonce_Fmoyen;8;chocolat_noir,corse;gout,fort_en_chocolat,peu_sucre,peu_amer;3;4;3;2;je m attendais a ca;8;F;25/34;cadres moyen;regulierement;9;3
9;Gfonce;Ffaible;Gfonce_Ffaible;8;chocolat_noir,corse;gout,fort_en_chocolat,peu_sucre,peu_amer;2;4;4;2;decu;7;F;25/34;cadres moyen;regulierement;9;3
9;Gfonce;Ffort;Gfonce_Ffort;8;chocolat_noir,corse;gout,fort_en_chocolat,peu_sucre,peu_amer;3;3;3;3;je m attendais a ca;7;F;25/34;cadres moyen;regulierement;9;3
9;Gmoyen;Fmoyen;Gmoyen_Fmoyen;9;eclair_au_chocolat,classique,pas_trop_amer;eclair,avec,vrai,gout,de,chocolat,pas_amer,pas_trop_sucre;3;3;3;3;agreablement surpris;9;F;25/34;cadres moyen;regulierement;9;3
9;Gmoyen;Ffort;Gmoyen_Ffort;9;eclair_au_chocolat,classique,pas_trop_amer;eclair,avec,vrai,gout,de,chocolat,pas_amer,pas_trop_sucre;4;2;2;4;tres decu;2;F;25/34;cadres moyen;regulierement;9;3
9;Gmoyen;Ffaible;Gmoyen_Ffaible;9;eclair_au_chocolat,classique,pas_trop_amer;eclair,avec,vrai,gout,de,chocolat,pas_amer,pas_trop_sucre;2;3;3;3;je m attendais a ca;7;F;25/34;cadres moyen;regulierement;9;3
10;Gclair;Ffaible;Gclair_Ffaible;2;cafe_au_lait,peu_de_caramel;surprise;1;4;3;4;decu;2;F;50/64;employes;occasionnellement;3;7
10;Gclair;Fmoyen;Gclair_Fmoyen;2;cafe_au_lait,peu_de_caramel;surprise;3;4;3;3;je m attendais a ca;6;F;50/64;employes;occasionnellement;3;7
10;Gclair;Ffort;Gclair_Ffort;2;cafe_au_lait,peu_de_caramel;surprise;2;4;3;2;decu;2;F;50/64;employes;occasionnellement;3;7
