Conso;Glacage;Fourrage;Eclair;App glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Ressenti;Liking;Difficulte Epreuve;Age enfant;Age parent
20;Gclair;Ffaible;Gclair_Ffaible;7;cafe,caramel;4;1;4;tres agreablement surpris;10;4;7;44
20;Gfonce;Ffort;Gfonce_Ffort;10;chocolat,j_aime;4;3;3;agreablement surpris;9;4;7;44
20;Gfonce;Ffaible;Gfonce_Ffaible;10;chocolat,j_aime;3;3;3;agreablement surpris;9;4;7;44
20;Gfonce;Fmoyen;Gfonce_Fmoyen;10;chocolat,j_aime;1;4;3;tres agreablement surpris;10;4;7;44
21;Gclair;Ffaible;Gclair_Ffaible;4;cafe,j_aime_pas,crotte,cafe;5;3;4;un peu decu;2;3;10;50
21;Gclair;Fmoyen;Gclair_Fmoyen;4;cafe,j_aime_pas,crotte,cafe;4;4;2;un peu decu;2;3;10;50
21;Gclair;Ffort;Gclair_Ffort;4;cafe,j_aime_pas,crotte,cafe;5;4;2;un peu decu;2;3;10;50
21;Gfonce;Fmoyen;Gfonce_Fmoyen;9;jolie,bon,tres_chocolat;1;2;2;un peu decu;2;3;10;50
21;Gfonce;Ffaible;Gfonce_Ffaible;9;jolie,bon,tres_chocolat;2;3;3;je m attendais a ca;5;3;10;50
21;Gfonce;Ffort;Gfonce_Ffort;9;jolie,bon,tres_chocolat;5;3;2;un peu decu;3;3;10;50
21;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;j_aime,vrai_chocolat,doux,leger;3;3;3;tres agreablement surpris;10;3;10;50
21;Gmoyen;Ffaible;Gmoyen_Ffaible;10;j_aime,vrai_chocolat,doux,leger;3;3;2;je m attendais a ca;7;3;10;50
21;Gmoyen;Ffort;Gmoyen_Ffort;10;j_aime,vrai_chocolat,doux,leger;5;2;3;un peu decu;2;3;10;50
22;Gclair;Ffaible;Gclair_Ffaible;5;caramel,sucre;3;2;3;je m attendais a ca;5;4;7;37
22;Gclair;Fmoyen;Gclair_Fmoyen;5;caramel,sucre;4;3;4;un peu decu;4;4;7;37
22;Gclair;Ffort;Gclair_Ffort;5;caramel,sucre;5;3;3;je m attendais a ca;7;4;7;37
22;Gfonce;Fmoyen;Gfonce_Fmoyen;5;chocolat_noir,fort;2;3;3;un peu decu;4;4;7;37
22;Gfonce;Ffaible;Gfonce_Ffaible;5;chocolat_noir,fort;3;3;3;je m attendais a ca;5;4;7;37
22;Gfonce;Ffort;Gfonce_Ffort;5;chocolat_noir,fort;5;3;4;tres decu;2;4;7;37
22;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;bon_gout,chocolat_au_lait;3;3;3;agreablement surpris;9;4;7;37
22;Gmoyen;Ffort;Gmoyen_Ffort;10;bon_gout,chocolat_au_lait;5;2;3;un peu decu;4;4;7;37
22;Gmoyen;Ffaible;Gmoyen_Ffaible;10;bon_gout,chocolat_au_lait;3;3;3;tres agreablement surpris;10;4;7;37
23;Gclair;Ffaible;Gclair_Ffaible;5;moyen;5;4;4;un peu decu;3;1;6;36
23;Gclair;Fmoyen;Gclair_Fmoyen;5;moyen;4;5;3;un peu decu;4;1;6;36
23;Gclair;Ffort;Gclair_Ffort;5;moyen;2;2;3;agreablement surpris;6;1;6;36
23;Gfonce;Ffort;Gfonce_Ffort;6;chocolat;3;4;2;tres agreablement surpris;1;1;6;36
23;Gfonce;Ffaible;Gfonce_Ffaible;6;chocolat;4;4;2;agreablement surpris;2;1;6;36
23;Gfonce;Fmoyen;Gfonce_Fmoyen;6;chocolat;1;3;5;agreablement surpris;10;1;6;36
